left_child,right_child,distance,size
19935.0,26267.0,0.0,2.0
19895.0,52688.0,0.0,3.0
19968.0,52693.0,0.0,3.0
45388.0,52677.0,0.0,3.0
19890.0,52697.0,0.0,8.0
19844.0,50408.0,0.0,2.0
19843.0,27045.0,0.0,2.0
19841.0,19828.0,0.0,2.0
19840.0,52714.0,0.0,3.0
19839.0,51561.0,0.0,2.0
19836.0,35497.0,0.0,2.0
19846.0,52704.0,0.0,6.0
19835.0,52715.0,0.0,4.0
19829.0,15043.0,0.0,2.0
52719.0,19827.0,0.0,5.0
19826.0,52667.0,0.0,7.0
19824.0,19817.0,0.0,2.0
19823.0,52723.0,0.0,3.0
19821.0,29446.0,0.0,2.0
19834.0,52721.0,0.0,6.0
19849.0,52726.0,0.0,7.0
19850.0,52700.0,0.0,4.0
19856.0,52727.0,0.0,8.0
19886.0,19898.0,0.0,2.0
19885.0,15166.0,0.0,2.0
19884.0,52731.0,0.0,3.0
19882.0,171.0,0.0,2.0
19879.0,19762.0,0.0,2.0
45394.0,44781.0,0.0,2.0
19877.0,50401.0,0.0,2.0
19876.0,52736.0,0.0,3.0
19872.0,52658.0,0.0,4.0
19871.0,52738.0,0.0,5.0
19866.0,52739.0,0.0,6.0
19865.0,52740.0,0.0,7.0
19862.0,49793.0,0.0,2.0
19859.0,52718.0,0.0,7.0
19858.0,52687.0,0.0,3.0
19891.0,616.0,0.0,2.0
19820.0,52725.0,0.0,3.0
19970.0,52584.0,0.0,3.0
19973.0,52743.0,0.0,8.0
20138.0,20137.0,0.0,2.0
20136.0,52749.0,0.0,3.0
20132.0,49870.0,0.0,2.0
20131.0,52751.0,0.0,3.0
20130.0,20134.0,0.0,2.0
20129.0,40138.0,0.0,2.0
20139.0,16935.0,0.0,2.0
20128.0,52752.0,0.0,4.0
20124.0,52756.0,0.0,5.0
20123.0,20108.0,0.0,2.0
45095.0,45099.0,0.0,2.0
45097.0,52759.0,0.0,3.0
45098.0,52760.0,0.0,4.0
45100.0,52761.0,0.0,5.0
20125.0,52753.0,0.0,3.0
20147.0,20168.0,0.0,2.0
45020.0,45019.0,0.0,2.0
45016.0,52765.0,0.0,3.0
20217.0,20216.0,0.0,2.0
44870.0,44872.0,0.0,2.0
44961.0,44960.0,0.0,2.0
20197.0,20196.0,0.0,2.0
44971.0,52769.0,0.0,3.0
20181.0,52764.0,0.0,3.0
45001.0,45002.0,0.0,2.0
45003.0,52773.0,0.0,3.0
45007.0,45004.0,0.0,2.0
20169.0,52772.0,0.0,4.0
20166.0,52776.0,0.0,5.0
45008.0,52775.0,0.0,3.0
45009.0,45012.0,0.0,2.0
45010.0,52779.0,0.0,3.0
45011.0,52780.0,0.0,4.0
45104.0,45106.0,0.0,2.0
19971.0,27713.0,0.0,2.0
45107.0,52782.0,0.0,3.0
45123.0,40580.0,0.0,2.0
20016.0,52754.0,0.0,3.0
20014.0,34329.0,0.0,2.0
20012.0,33137.0,0.0,2.0
20004.0,20005.0,0.0,2.0
19998.0,52789.0,0.0,3.0
45300.0,45301.0,0.0,2.0
20019.0,52787.0,0.0,3.0
19994.0,52790.0,0.0,4.0
19992.0,52793.0,0.0,5.0
45304.0,42630.0,0.0,2.0
19988.0,13865.0,0.0,2.0
19985.0,30671.0,0.0,2.0
45341.0,45342.0,0.0,2.0
19974.0,52748.0,0.0,9.0
45302.0,52791.0,0.0,3.0
20020.0,52786.0,0.0,4.0
20021.0,20025.0,0.0,2.0
20024.0,52802.0,0.0,3.0
20098.0,20096.0,0.0,2.0
20097.0,52804.0,0.0,3.0
20092.0,52758.0,0.0,3.0
20091.0,47403.0,0.0,2.0
20088.0,16216.0,0.0,2.0
20065.0,38396.0,0.0,2.0
20059.0,52792.0,0.0,4.0
20051.0,49904.0,0.0,2.0
20050.0,13956.0,0.0,2.0
45225.0,52798.0,0.0,3.0
20042.0,52812.0,0.0,3.0
20038.0,52803.0,0.0,4.0
20033.0,52806.0,0.0,4.0
20030.0,52814.0,0.0,4.0
20027.0,52817.0,0.0,5.0
20105.0,52805.0,0.0,4.0
18807.0,52574.0,0.0,3.0
19814.0,19813.0,0.0,2.0
19809.0,52724.0,0.0,4.0
19617.0,19618.0,0.0,2.0
52432.0,45609.0,0.0,3.0
19614.0,52482.0,0.0,4.0
19613.0,19612.0,0.0,2.0
19610.0,19609.0,0.0,2.0
19607.0,17453.0,0.0,2.0
45565.0,39576.0,0.0,2.0
19605.0,19604.0,0.0,2.0
19602.0,52559.0,0.0,6.0
19601.0,52831.0,0.0,7.0
19599.0,52548.0,0.0,3.0
19597.0,52830.0,0.0,3.0
19596.0,5463.0,0.0,2.0
19595.0,52835.0,0.0,3.0
19603.0,52449.0,0.0,5.0
52565.0,48650.0,0.0,3.0
19622.0,30596.0,0.0,2.0
19624.0,19625.0,0.0,2.0
19658.0,52799.0,0.0,10.0
19657.0,19650.0,0.0,2.0
19656.0,337.0,0.0,2.0
19655.0,51594.0,0.0,2.0
19647.0,32970.0,0.0,2.0
19645.0,19644.0,0.0,2.0
19643.0,52846.0,0.0,3.0
19642.0,48709.0,0.0,2.0
19641.0,52728.0,0.0,5.0
19635.0,19634.0,0.0,2.0
19633.0,52850.0,0.0,3.0
45544.0,44510.0,0.0,2.0
45546.0,44797.0,0.0,2.0
45554.0,11849.0,0.0,2.0
19626.0,51481.0,0.0,2.0
19593.0,35257.0,0.0,2.0
45523.0,45522.0,0.0,2.0
19590.0,52834.0,0.0,4.0
19588.0,52826.0,0.0,3.0
19530.0,52498.0,0.0,4.0
19528.0,34142.0,0.0,2.0
19527.0,52861.0,0.0,3.0
19525.0,50680.0,0.0,2.0
19524.0,52863.0,0.0,3.0
45627.0,52512.0,0.0,14.0
19531.0,5671.0,0.0,2.0
19516.0,52538.0,0.0,5.0
19512.0,486.0,0.0,2.0
19511.0,52868.0,0.0,3.0
19510.0,52862.0,0.0,4.0
19509.0,52870.0,0.0,5.0
45628.0,52510.0,0.0,7.0
19504.0,35271.0,0.0,2.0
19515.0,52867.0,0.0,6.0
19532.0,52866.0,0.0,3.0
45624.0,52865.0,0.0,15.0
19534.0,26768.0,0.0,2.0
19578.0,21497.0,0.0,2.0
19572.0,19571.0,0.0,2.0
19570.0,52832.0,0.0,8.0
19569.0,52880.0,0.0,9.0
45585.0,52444.0,0.0,4.0
45586.0,19738.0,0.0,2.0
19556.0,19716.0,0.0,2.0
19553.0,49187.0,0.0,2.0
19551.0,52884.0,0.0,3.0
19550.0,52886.0,0.0,4.0
45613.0,2110.0,0.0,2.0
19541.0,19538.0,0.0,2.0
19540.0,52889.0,0.0,3.0
45616.0,52829.0,0.0,3.0
19535.0,52871.0,0.0,6.0
19589.0,52859.0,0.0,4.0
19810.0,52822.0,0.0,5.0
19664.0,2084.0,0.0,2.0
45520.0,52857.0,0.0,3.0
19773.0,19753.0,0.0,2.0
19772.0,19724.0,0.0,2.0
19770.0,19771.0,0.0,2.0
19769.0,29897.0,0.0,2.0
19768.0,19779.0,0.0,2.0
19764.0,52733.0,0.0,3.0
19774.0,52897.0,0.0,3.0
19763.0,52902.0,0.0,4.0
19760.0,17773.0,0.0,2.0
19759.0,52905.0,0.0,3.0
19758.0,52898.0,0.0,3.0
19755.0,11237.0,0.0,2.0
19754.0,52903.0,0.0,4.0
19752.0,19733.0,0.0,2.0
19761.0,52734.0,0.0,3.0
19775.0,52909.0,0.0,5.0
19776.0,52899.0,0.0,3.0
19778.0,52901.0,0.0,3.0
19808.0,52720.0,0.0,3.0
19807.0,52915.0,0.0,4.0
19806.0,456.0,0.0,2.0
19805.0,52917.0,0.0,3.0
19801.0,52717.0,0.0,3.0
19798.0,33050.0,0.0,2.0
19797.0,52920.0,0.0,3.0
19794.0,52841.0,0.0,11.0
19793.0,50211.0,0.0,2.0
19792.0,52582.0,0.0,3.0
19789.0,52907.0,0.0,4.0
19784.0,52906.0,0.0,4.0
19783.0,52925.0,0.0,5.0
19782.0,15145.0,0.0,2.0
19781.0,19780.0,0.0,2.0
19751.0,52927.0,0.0,6.0
19665.0,52895.0,0.0,3.0
19745.0,52930.0,0.0,7.0
19741.0,52904.0,0.0,5.0
19705.0,52887.0,0.0,5.0
19695.0,26926.0,0.0,2.0
19694.0,52935.0,0.0,3.0
19689.0,52932.0,0.0,8.0
19686.0,52430.0,0.0,3.0
45493.0,45495.0,0.0,2.0
19707.0,19708.0,0.0,2.0
45494.0,52939.0,0.0,3.0
19678.0,21447.0,0.0,2.0
19677.0,52942.0,0.0,3.0
19676.0,52827.0,0.0,3.0
45496.0,52941.0,0.0,4.0
19673.0,52893.0,0.0,5.0
19670.0,52873.0,0.0,3.0
19681.0,525.0,0.0,2.0
19711.0,52709.0,0.0,4.0
19712.0,52949.0,0.0,5.0
19713.0,52934.0,0.0,6.0
