parent,left_child,right_child,distance,size
53007,23170.0,53006.0,0.0,4.0
53008,23167.0,52730.0,0.0,3.0
53009,23164.0,52991.0,0.0,4.0
53010,23159.0,23149.0,0.0,2.0
53011,23204.0,52998.0,0.0,7.0
53012,23205.0,53011.0,0.0,8.0
53013,23206.0,53012.0,0.0,9.0
53014,48235.0,48232.0,0.0,2.0
53015,48233.0,52990.0,0.0,16.0
53016,23239.0,1162.0,0.0,2.0
53017,23237.0,23235.0,0.0,2.0
53018,23236.0,53017.0,0.0,3.0
53019,23233.0,53009.0,0.0,5.0
53020,23232.0,53018.0,0.0,4.0
53021,23231.0,53020.0,0.0,5.0
53022,23230.0,53021.0,0.0,6.0
53023,23229.0,53022.0,0.0,7.0
53024,23243.0,53016.0,0.0,3.0
53025,23227.0,53023.0,0.0,8.0
53026,48234.0,53005.0,0.0,3.0
53027,23223.0,53013.0,0.0,10.0
53028,23220.0,53027.0,0.0,11.0
53029,23219.0,53028.0,0.0,12.0
53030,23215.0,53029.0,0.0,13.0
53031,23212.0,53030.0,0.0,14.0
53032,23210.0,53031.0,0.0,15.0
53033,23209.0,53032.0,0.0,16.0
53034,23208.0,53001.0,0.0,6.0
53035,23226.0,53025.0,0.0,9.0
53036,23375.0,52989.0,0.0,7.0
53037,23379.0,23381.0,0.0,2.0
53038,23384.0,23401.0,0.0,2.0
53039,23593.0,23587.0,0.0,2.0
53040,23592.0,53039.0,0.0,3.0
53041,23586.0,53040.0,0.0,4.0
